dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B01,beginner,用語の特定,identify,外敵の侵入が収まったのち、レコンキスタ・東方植民・十字軍遠征へと向かった西ヨーロッパの動きをまとめて何という？,西欧世界の拡大,西欧世界の拡大,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B02,beginner,原因,cause,西欧世界の拡大の経済的な背景となった生産力の上昇は、どの産業で起きた？,農業,農業,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B03,beginner,内容,content,西欧世界の拡大のうち、ドイツ人がエルベ川以東へ進出した動きは？,東方植民,東方植民,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B04,beginner,内容,content,西欧世界の拡大のうち、イベリア半島でキリスト教徒が領土の回復を進めた運動は？,レコンキスタ,レコンキスタ,国土回復運動|再征服運動,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B05,beginner,内容,content,西欧世界の拡大のうち、聖地イェルサレムの回復を掲げた遠征は？,十字軍遠征,十字軍遠征,十字軍,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B06,beginner,結果,result,西欧世界の拡大に含まれる十字軍の失敗で、権威が後退した宗教的指導者は？,教皇,教皇,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-B07,beginner,関係する勢力,actor,西欧世界の拡大に伴う十字軍で利益を得て、国王に経済的に協力した人々は？,商人,商人,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-R01,reverse,背景,reverse,「西欧世界の拡大」：なぜ進んだ？,11世紀以降の西ヨーロッパでは外敵の侵入が収まり、**三圃制(さんぽせい)**・**重量有輪犂(じゅうりょうゆうりんり)**の普及や**大開墾運動**によって農業生産力が上がり、人口が増加した。,三圃制|重量有輪犂|大開墾運動,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-R02,reverse,展開,reverse,「西欧世界の拡大」：どのように進んだ？,イベリア半島の**レコンキスタ**、ドイツ人の**東方植民**、東地中海への**十字軍遠征**という形で対外的な拡大が進んだ。,レコンキスタ|東方植民|十字軍遠征,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
世界史探究 第4章 第14回-1 西欧世界の拡大と十字軍遠征,WH-140101,174,共通テスト基礎・重要,時代・歴史区分,西欧世界の拡大,せいおうせかいのかくだい,,中世,ヨーロッパ,西ヨーロッパ／イベリア半島・エルベ川以東・東地中海,11世紀以降,1100,WH-140101-R03,reverse,政治への影響,reverse,「西欧世界の拡大」：十字軍は政治に何をもたらした？,十字軍の失敗で**教皇の権威は後退**し、戦費で諸侯・騎士が困窮する一方、商人の協力と徴税制度の整備によって**王権が相対的に強化**された。,教皇の権威は後退|王権が相対的に強化,,,,14_十字軍と封建社会の変容(1).md pp.224–228,
