dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260201,246,共通テスト基礎,国家・王朝,ホーエンツォレルン家,ほーえんつぉれるんけ,,近世,ヨーロッパ,ブランデンブルク・プロイセン,17〜18世紀初め,1600,WH-260201-B01,beginner,用語の特定,identify,ブランデンブルク選帝侯国を支配し、プロイセン公国を継承して王国へ発展させた家は？,ホーエンツォレルン家,ホーエンツォレルン家,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415–416,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260201,246,共通テスト基礎,国家・王朝,ホーエンツォレルン家,ほーえんつぉれるんけ,,近世,ヨーロッパ,ブランデンブルク・プロイセン,17〜18世紀初め,1600,WH-260201-B02,beginner,地域,place,ホーエンツォレルン家が支配したドイツの選帝侯国は？,ブランデンブルク選帝侯国,ブランデンブルク選帝侯国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415–416,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260201,246,共通テスト基礎,国家・王朝,ホーエンツォレルン家,ほーえんつぉれるんけ,,近世,ヨーロッパ,ブランデンブルク・プロイセン,17〜18世紀初め,1600,WH-260201-B03,beginner,地域,place,ホーエンツォレルン家が継承して同君連合とした、ドイツ騎士団領に由来する公国は？,プロイセン公国,プロイセン公国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415–416,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260201,246,共通テスト基礎,国家・王朝,ホーエンツォレルン家,ほーえんつぉれるんけ,,近世,ヨーロッパ,ブランデンブルク・プロイセン,17〜18世紀初め,1600,WH-260201-B04,beginner,中心人物,person,ホーエンツォレルン家で1701年に王号を認められた人物は？,フリードリヒ1世,フリードリヒ1世,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415–416,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260201,246,共通テスト基礎,国家・王朝,ホーエンツォレルン家,ほーえんつぉれるんけ,,近世,ヨーロッパ,ブランデンブルク・プロイセン,17〜18世紀初め,1600,WH-260201-R01,reverse,複合説明,reverse,何をした？,17世紀の**ブランデンブルク**を支配し、**プロイセン公国**を継承して同君連合を形成した家。1701年にはフリードリヒ1世が王号を認められ、**プロイセン王国**へ発展した。,ブランデンブルク|プロイセン公国|プロイセン王国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415–416,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260201,246,共通テスト基礎,国家・王朝,ホーエンツォレルン家,ほーえんつぉれるんけ,,近世,ヨーロッパ,ブランデンブルク・プロイセン,17〜18世紀初め,1600,WH-260201-I01,integrated,統合説明,integrated,「ホーエンツォレルン家」について説明せよ。,17世紀の**ブランデンブルク**を支配し、**プロイセン公国**を継承して同君連合を形成した家。1701年にはフリードリヒ1世が王号を認められ、**プロイセン王国**へ発展した。,ブランデンブルク|プロイセン公国|プロイセン王国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415–416,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260202,247,共通テスト基礎,国家・王朝,ブランデンブルク＝プロイセン,ぶらんでんぶるくぷろいせん,,近世,ヨーロッパ,北ドイツ・プロイセン,17世紀前半〜,1600,WH-260202-B01,beginner,用語の特定,identify,ホーエンツォレルン家が、ブランデンブルク選帝侯国とプロイセン公国を結んで成立させた同君連合を何という？,ブランデンブルク＝プロイセン,ブランデンブルク＝プロイセン,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260202,247,共通テスト基礎,国家・王朝,ブランデンブルク＝プロイセン,ぶらんでんぶるくぷろいせん,,近世,ヨーロッパ,北ドイツ・プロイセン,17世紀前半〜,1600,WH-260202-B02,beginner,関連語,relation,ブランデンブルク＝プロイセンを統治した家は？,ホーエンツォレルン家,ホーエンツォレルン家,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260202,247,共通テスト基礎,国家・王朝,ブランデンブルク＝プロイセン,ぶらんでんぶるくぷろいせん,,近世,ヨーロッパ,北ドイツ・プロイセン,17世紀前半〜,1600,WH-260202-B03,beginner,中心人物,person,ブランデンブルク＝プロイセンでユグノーを受け入れ、領土拡大を進めた大選帝侯は？,フリードリヒ＝ヴィルヘルム大選帝侯,フリードリヒ＝ヴィルヘルム大選帝侯,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260202,247,共通テスト基礎,国家・王朝,ブランデンブルク＝プロイセン,ぶらんでんぶるくぷろいせん,,近世,ヨーロッパ,北ドイツ・プロイセン,17世紀前半〜,1600,WH-260202-B04,beginner,結果,result,ブランデンブルク＝プロイセンが1701年に発展した王国は？,プロイセン王国,プロイセン王国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260202,247,共通テスト基礎,国家・王朝,ブランデンブルク＝プロイセン,ぶらんでんぶるくぷろいせん,,近世,ヨーロッパ,北ドイツ・プロイセン,17世紀前半〜,1600,WH-260202-R01,reverse,複合説明,reverse,どのように形成された？,17世紀前半、**北ドイツ**のホーエンツォレルン家が**プロイセン公国**を継承し、ブランデンブルク選帝侯国と結びつけた同君連合。大選帝侯の領土拡大や産業育成を経て、1701年に**プロイセン王国**へ発展した。,北ドイツ|プロイセン公国|プロイセン王国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260202,247,共通テスト基礎,国家・王朝,ブランデンブルク＝プロイセン,ぶらんでんぶるくぷろいせん,,近世,ヨーロッパ,北ドイツ・プロイセン,17世紀前半〜,1600,WH-260202-I01,integrated,統合説明,integrated,「ブランデンブルク＝プロイセン」について説明せよ。,17世紀前半、**北ドイツ**のホーエンツォレルン家が**プロイセン公国**を継承し、ブランデンブルク選帝侯国と結びつけた同君連合。大選帝侯の領土拡大や産業育成を経て、1701年に**プロイセン王国**へ発展した。,北ドイツ|プロイセン公国|プロイセン王国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260203,388,共通テスト標準,人物,フリードリヒ＝ヴィルヘルム大選帝侯,ふりーどりひゔぃるへるむだいせんていこう,,近世,ヨーロッパ,ブランデンブルク＝プロイセン,17世紀,1600,WH-260203-B01,beginner,用語の特定,identify,三十年戦争でフランス側に立ち、東ポンメルンを獲得し、フランスから亡命したユグノーを受け入れた大選帝侯は？,フリードリヒ＝ヴィルヘルム大選帝侯,フリードリヒ＝ヴィルヘルム大選帝侯,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260203,388,共通テスト標準,人物,フリードリヒ＝ヴィルヘルム大選帝侯,ふりーどりひゔぃるへるむだいせんていこう,,近世,ヨーロッパ,ブランデンブルク＝プロイセン,17世紀,1600,WH-260203-B02,beginner,関連語,relation,フリードリヒ＝ヴィルヘルム大選帝侯が領土を獲得した三十年戦争の講和条約は？,ウェストファリア条約,ウェストファリア条約,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260203,388,共通テスト標準,人物,フリードリヒ＝ヴィルヘルム大選帝侯,ふりーどりひゔぃるへるむだいせんていこう,,近世,ヨーロッパ,ブランデンブルク＝プロイセン,17世紀,1600,WH-260203-B03,beginner,地域,place,フリードリヒ＝ヴィルヘルム大選帝侯がウェストファリア条約で獲得した地方は？,東ポンメルン,東ポンメルン,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260203,388,共通テスト標準,人物,フリードリヒ＝ヴィルヘルム大選帝侯,ふりーどりひゔぃるへるむだいせんていこう,,近世,ヨーロッパ,ブランデンブルク＝プロイセン,17世紀,1600,WH-260203-B04,beginner,関係する勢力,actor,フリードリヒ＝ヴィルヘルム大選帝侯が産業振興のため受け入れたフランスの新教徒は？,ユグノー,ユグノー,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
世界史探究_第26回_02_プロイセンとオーストリアの国内統治,WH-260203,388,共通テスト標準,人物,フリードリヒ＝ヴィルヘルム大選帝侯,ふりーどりひゔぃるへるむだいせんていこう,,近世,ヨーロッパ,ブランデンブルク＝プロイセン,17世紀,1600,WH-260203-R01,reverse,複合説明,reverse,何をした？,17世紀の**ブランデンブルク＝プロイセン**で、三十年戦争にフランス側で参戦し、**ウェストファリア条約**で東ポンメルンを獲得した。フランスから亡命した**ユグノー**を受け入れて産業を育成した。,ブランデンブルク＝プロイセン|ウェストファリア条約|ユグノー,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.415,
