"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-19-01-001","一問一答","内容","東南アジアは海上交易で、主にどの二つの世界を結ぶ位置にあったか？","東アジア世界とインド洋世界。","東シナ海・南シナ海とインド洋の間に位置する中継地として捉える。","","19_東南アジア世界.md","p.303","L30"
"WHSO-05-19-01-002","一問一答","場所","東南アジアの航路で、インドから中国へ向かう船の前に広がる二つの半島は？","インドシナ半島とマレー半島。","大きな半島や島々が、船の航路を規定した。","","19_東南アジア世界.md","p.303","L53"
"WHSO-05-19-01-003","一問一答","場所","ボルネオ島の別名は？","カリマンタン島。","本文の東南アジアの島々の説明では、二つの呼び方が併記される。","","19_東南アジア世界.md","p.303","L53"
"WHSO-05-19-01-004","一問一答","原因","古代の航海で、船が各地の港市に立ち寄りながら進んだのはなぜか？","陸地に沿って航行し、水や食料を補給する必要があったため。","寄港地や航路の目印になる場所は、交易の中継点となった。","","19_東南アジア世界.md","p.303","L53"
"WHSO-05-19-01-005","一問一答","原因","東南アジアで航海の中継点や陸路と航路の接点に国家が栄えたのはなぜか？","航海や物資の中継に重要な場所が、交易の拠点となったため。","海上交易の発展を国家形成とつなげて理解する。","","19_東南アジア世界.md","p.303","L55"
"WHSO-05-19-01-006","一問一答","原因","東南アジアで大河の流域にも国家が形成されたのはなぜか？","農業生産の基盤となる地域だったため。","港市の交易と、内陸の農業という二つの基盤を区別する。","","19_東南アジア世界.md","p.303","L55"
"WHSO-05-19-01-007","一問一答","場所","ビルマ（ミャンマー）の国家形成と関係の深い大河は？","エーヤワディー川（イラワディ川）。","タイのチャオプラヤ川やベトナムの紅河と区別する。","","19_東南アジア世界.md","p.303","L55"
"WHSO-05-19-01-008","一問一答","場所","タイの国家形成と関係の深い、本文に挙げられる大河は？","チャオプラヤ川。","スコータイ朝やアユタヤ朝を学ぶ際の地理的な基準になる。","","19_東南アジア世界.md","p.303;p.307;p.308","L55;L186;L218"
"WHSO-05-19-01-009","一問一答","場所","下流域がカンボジアにあたる大河は？","メコン川。","扶南やカンボジアの歴史と結びつけて押さえる。","","19_東南アジア世界.md","p.303","L55"
"WHSO-05-19-01-010","一問一答","場所","北ベトナムの農業や国家形成と関係の深い大河は？","紅河。","李朝や陳朝では、そのデルタの開拓が進んだ。","","19_東南アジア世界.md","p.303;p.307","L55;L166;L190"
"WHSO-05-19-01-011","一問一答","関係","エーヤワディー川・チャオプラヤ川・メコン川下流・紅河を、それぞれの地域と対応させなさい。","エーヤワディー川はビルマ、チャオプラヤ川はタイ、メコン川下流はカンボジア、紅河は北ベトナム。","国名と河川名を別々に覚えず、対応関係で整理する。","","19_東南アジア世界.md","p.303","L55"
"WHSO-05-19-01-012","一問一答","場所","東南アジアの主要河川を、西から順に四つ答えなさい。","エーヤワディー川→チャオプラヤ川→メコン川→紅河。","本文が示す西から東への順序である。","","19_東南アジア世界.md","p.303","L55"
"WHSO-05-19-01-013","一問一答","用語の特定","前4世紀ころから東南アジアに広がった、銅鼓を特徴とする青銅器文化は？","ドンソン文化。","北ベトナムの遺跡名に由来する。","","19_東南アジア世界.md","p.303","L59"
"WHSO-05-19-01-014","一問一答","場所","ドンソン文化の名のもととなったドンソン遺跡は、どの地域にあるか？","ベトナム北部。","そこから青銅器が発見されたことに由来する呼称である。","","19_東南アジア世界.md","p.303","L59"
"WHSO-05-19-01-015","一問一答","用語の特定","ドンソン文化を特徴づける、青銅製の太鼓は？","銅鼓。","文様には稲作の様子などが描かれている。","","19_東南アジア世界.md","p.303","L59"
"WHSO-05-19-01-016","一問一答","内容","ドンソン文化の銅鼓に稲作の文様があることから、どのような生活文化がわかるか？","すでに稲作文化が広がっていたこと。","出土品の特徴から、当時の生産や生活を読み取る例である。","","19_東南アジア世界.md","p.303","L59"
"WHSO-05-19-01-017","一問一答","内容","ドンソン文化が影響を受けたものとして、本文が挙げる二つの文化は？","スキタイ文化と中国文化。","外部とのつながりを持つ青銅器文化として説明される。","","19_東南アジア世界.md","p.303","L59"
"WHSO-05-19-01-018","一問一答","場所","ドンソン文化は半島部のほか、どのような島々にも広がったか？","スマトラ島やジャワ島など。","東南アジアの各地が海や川のルートで結ばれていた。","","19_東南アジア世界.md","p.304","L77"
"WHSO-05-19-01-019","一問一答","用語の特定","南シナ海やタイ湾の沿岸に広がった、漁業を中心とする人々の文化は？","サーフィン文化。","ドンソン文化とともに、東南アジアの古代文化として挙げられる。","","19_東南アジア世界.md","p.304","L77"
"WHSO-05-19-01-020","一問一答","内容","サーフィン文化と似た装飾がフィリピン諸島にもあることは、どのような交流を示すか？","島々が海上ルートで結ばれていたこと。","物の共通性から海上交流の広がりを読み取る。","","19_東南アジア世界.md","p.304","L77"
"WHSO-05-19-01-021","一問一答","主体","紀元前後、香料などを求めて東南アジアへ来航し始めたインド側の勢力は？","南インド諸国。","東南アジアはインド洋と中国方面を結ぶ中継地となった。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-022","一問一答","人物","南越を征服し、ベトナム方面に郡を置いた前漢の皇帝は？","武帝。","北ベトナムは、早くから中国王朝の支配と深く関係した。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-023","一問一答","用語の特定","前漢がベトナム北部と中部に設けた郡を、それぞれ答えなさい。","北部は交趾郡、中部は日南郡。","のちに日南郡には大秦王安敦の使者を名乗る人物が来た。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-024","一問一答","場所","マラッカ海峡は、どの半島とどの島の間にあるか？","マレー半島とスマトラ島の間。","スマトラ島とジャワ島の間のスンダ海峡とは異なる。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-025","一問一答","内容","マラッカ海峡を通る船がまだ少なかった時期、南インドと華南を結んだルートは？","マレー半島を陸路で横断するルート。","初めからすべての船が海峡を通過していたわけではない。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-026","一問一答","人物","2世紀後半、使者を名乗る人物が日南郡に来たとされる「大秦王安敦」は、どのローマ皇帝か？","マルクス＝アウレリウス＝アントニヌス。","本文は、皇帝の正式な使節と断定せず「使者を名乗る人物」としている。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-027","一問一答","場所","2世紀後半、大秦王安敦の使者を名乗る人物が入貢した、中国側の郡は？","日南郡。","ローマと中国を結ぶ海上交易の広がりを示す例として挙げられる。","","19_東南アジア世界.md","p.304","L79"
"WHSO-05-19-01-028","一問一答","原因","1世紀末以降、東南アジアの沿岸に港市国家が生まれた国際的な背景は？","ローマ帝国と後漢が繁栄し、両者を結ぶ交易の中継地が重要になったこと。","国家形成を、海上交易の拡大と関連づける。","","19_東南アジア世界.md","p.304","L93"
"WHSO-05-19-01-029","一問一答","主体","メコン川下流域のカンボジア南部に成立した、初期の港市国家は？","扶南。","港市オケオの遺跡から、広域交易を示す遺物が出土している。","","19_東南アジア世界.md","p.304","L93"
"WHSO-05-19-01-030","一問一答","場所","扶南の港市で、ローマ金貨やインドの神像などが出土した遺跡は？","オケオ。","扶南が東西交易の中継地だったことを示す。","","19_東南アジア世界.md","p.304","L93"
"WHSO-05-19-01-031","一問一答","内容","オケオ遺跡から出土した、ローマ・中国・インドとの交流を示す品々は？","ローマの金貨、中国製の絹織物、インドの神像など。","本文で挙げられる遺物の出自を対応させる。","","19_東南アジア世界.md","p.304","L93"
"WHSO-05-19-01-032","一問一答","内容","オケオでローマ・中国・インドの品が見つかることから、何がわかるか？","これらの地域を結ぶ交易が、扶南の港市でつながっていたこと。","遺物の出土地が、すべてその品の生産地とは限らない。","","19_東南アジア世界.md","p.304","L93"
"WHSO-05-19-01-033","一問一答","主体","2世紀末、チャム人が南ベトナムに建てた国は？","チャンパー（林邑）。","中国王朝の支配を受けた北ベトナムと区別する。","","19_東南アジア世界.md","p.304","L93"
