dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-B07,beginner,用語の特定,identify,1368年に朱元璋(しゅげんしょう)が南京で建国した漢民族の統一王朝は？,明,明,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-B08,beginner,時期,time,明が建国されたのはいつ？,1368年,1368年,,,1368：「勇むや　明の朱元璋」明の建国,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-B09,beginner,中心人物,person,明の建国者は？,朱元璋(しゅげんしょう),朱元璋,洪武帝,,,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-B10,beginner,地域,place,明の建国当初の都は？,南京,南京,応天府,,,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-B11,beginner,中心人物,person,明の都を北京に移した皇帝は？,永楽帝(えいらくてい),永楽帝,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-B12,beginner,中心人物,person,明の滅亡時に北京を占領した反乱軍の指導者は？,李自成(りじせい),李自成,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-R03,reverse,時期,time,明が存在したのはいつ？,**1368〜1644年**。,1368〜1644年,,,1368：「勇むや　明の朱元璋」明の建国|1644：「疲労して死ぬ　崇禎帝」明の滅亡,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-R04,reverse,複合説明,reverse,明は何をした？,**1368〜1644年**の中国の王朝で、**朱元璋(しゅげんしょう)**が江南を基盤に南京で建国した。**一世一元の制**や皇帝直属の統治機構を整え、**永楽帝(えいらくてい)**の時代に北京へ遷都したが、最後は**李自成(りじせい)**の反乱軍の北京占領により滅亡した。,1368〜1644年|朱元璋|一世一元の制|永楽帝|李自成,,,1368：「勇むや　明の朱元璋」明の建国|1644：「疲労して死ぬ　崇禎帝」明の滅亡,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170061,123,標準,国家・王朝,明,みん,,近世,東アジア,中国（江南・南京・北京）,1368〜1644年,1368,WH-170061-I02,integrated,統合説明,integrated,「明」について説明せよ。,**1368〜1644年**の中国の王朝で、**朱元璋(しゅげんしょう)**が江南を基盤に南京で建国した。**一世一元の制**や皇帝直属の統治機構を整え、**永楽帝(えいらくてい)**の時代に北京へ遷都したが、最後は**李自成(りじせい)**の反乱軍の北京占領により滅亡した。,1368〜1644年|朱元璋|一世一元の制|永楽帝|李自成,,,1368：「勇むや　明の朱元璋」明の建国|1644：「疲労して死ぬ　崇禎帝」明の滅亡,"18_中華帝国の繁栄（明・清）(1).md pp.282–284,291",
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-B08,beginner,用語の特定,identify,南京で明を建て、中書省(ちゅうしょしょう)の廃止や里甲制(りこうせい)の整備を進めた人物は？,朱元璋(しゅげんしょう),朱元璋,洪武帝|太祖,,,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-B09,beginner,時期,time,朱元璋(しゅげんしょう)が明を建国したのはいつ？,1368年,1368年,,,1368：「勇むや　明の朱元璋」明の建国,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-B10,beginner,内容,content,朱元璋(しゅげんしょう)が官学とした儒学は？,朱子学(しゅしがく),朱子学,,,,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-B11,beginner,内容,content,朱元璋(しゅげんしょう)が廃止した中央の行政機関は？,中書省(ちゅうしょしょう),中書省,,,,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-B12,beginner,内容,content,朱元璋(しゅげんしょう)が民戸の編成に用いた制度は？,里甲制(りこうせい),里甲制,,,,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-B13,beginner,内容,content,朱元璋(しゅげんしょう)が軍戸の編成に用いた制度は？,衛所制(えいしょせい),衛所制,,,,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-R04,reverse,時期,time,朱元璋(しゅげんしょう)が明を建国したのはいつ？,**1368年**。,1368年,,,1368：「勇むや　明の朱元璋」明の建国,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-R05,reverse,複合説明,reverse,朱元璋(しゅげんしょう)は何をした？,**1368年**に中国の南京で明を建てた皇帝で、**洪武帝(こうぶてい)**とも呼ばれる。**中書省(ちゅうしょしょう)と丞相(じょうしょう)を廃止**して六部(りくぶ)を皇帝直属とし、**朱子学(しゅしがく)**を官学として六諭(りくゆ)を定め、民戸を**里甲制(りこうせい)**、軍戸を**衛所制(えいしょせい)**で編成した。,1368年|洪武帝|中書省と丞相を廃止|朱子学|里甲制|衛所制,,,1368：「勇むや　明の朱元璋」明の建国,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
第18回_01_中華王朝の復活〜明〜,WH-170060,122,標準,人物,朱元璋,しゅげんしょう,洪武帝|太祖,近世,東アジア,中国（南京）,1368〜1398年（在位）,1368,WH-170060-I02,integrated,統合説明,integrated,「朱元璋(しゅげんしょう)」について説明せよ。,**1368年**に中国の南京で明を建てた皇帝で、**洪武帝(こうぶてい)**とも呼ばれる。**中書省(ちゅうしょしょう)と丞相(じょうしょう)を廃止**して六部(りくぶ)を皇帝直属とし、**朱子学(しゅしがく)**を官学として六諭(りくゆ)を定め、民戸を**里甲制(りこうせい)**、軍戸を**衛所制(えいしょせい)**で編成した。,1368年|洪武帝|中書省と丞相を廃止|朱子学|里甲制|衛所制,,,1368：「勇むや　明の朱元璋」明の建国,18_中華帝国の繁栄（明・清）(1).md pp.282–283,
