dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B01,beginner,用語の特定,identify,前7世紀前半、エジプトを含む全オリエントを初めて統一し、ニネヴェを都とした国は？,アッシリア,アッシリア,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B02,beginner,時期,time,アッシリアが全オリエントを統一したのはいつ？,前7世紀前半,前7世紀前半,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B03,beginner,地域,place,アッシリアの全盛期の都は？,ニネヴェ,ニネヴェ,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B04,beginner,中心人物,person,アッシリアを最大領域に導き、大図書館を建設した王は？,アッシュルバニバル王,アッシュルバニバル王,アッシュルバニバル,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B05,beginner,内容,content,アッシリアの強制移住・重税・武力による抑圧を特徴とする支配方針は？,武断政治,武断政治,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B06,beginner,関係する勢力,actor,アッシリアを滅ぼした二国は？,新バビロニアとメディア,新バビロニアとメディア,メディアと新バビロニア,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-B07,beginner,時期,time,アッシリアが滅亡したのはいつ？,前612年,前612年,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-R01,reverse,時期,time,「アッシリア」：オリエントを統一したのはいつ？,**前7世紀前半**。,前7世紀前半,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-R02,reverse,複合説明,reverse,「アッシリア」：何をした？,鉄製武器・戦車・騎馬隊を用い、メソポタミアからエジプトまでの全オリエントを初めて統一した。**ニネヴェ**を都とし、アッシュルバニバル王の時代に最大領域となり、州と総督・駅伝制で中央集権化を図った。,ニネヴェ,,,,02_古代オリエント世界の統一(2).md pp.33–34,
世界史探究_第1章_第02回_02_アッシリアと4国分立時代,WH-000044,30,共通テスト・必修,国家・王朝,アッシリア,あっしりあ,,古代,西アジア・北アフリカ,メソポタミアからエジプトまで,前7世紀前半にオリエント統一、前612年に滅亡,-700,WH-000044-R03,reverse,複合説明,reverse,「アッシリア」：なぜ滅亡した？,**強制移住や重税を伴う武断政治**が諸民族の反乱を招いた。各地の独立を抑えられず、**前612年**に新バビロニアとメディアに滅ぼされた。,強制移住や重税を伴う武断政治|前612年,,,,02_古代オリエント世界の統一(2).md pp.33–34,
